Order,State,Substate Region,"Small 
Area Estimate",95% CI (Lower),95% CI (Upper),Map Group
450,Wisconsin,Milwaukee,7.69%,5.78%,10.16%,4
451,Wisconsin,Northeastern,5.53%,4.15%,7.32%,4
452,Wisconsin,Northern,5.12%,3.63%,7.18%,4
453,Wisconsin,Southeastern,6.45%,4.86%,8.51%,4
454,Wisconsin,Southern,7.49%,5.72%,9.73%,4
455,Wisconsin,Western,7.12%,5.36%,9.39%,4
456,Wyoming,Wyoming,6.26%,5.26%,7.43%,3
457,Wyoming,Judicial District 1 (Laramie),6.58%,4.84%,8.88%,4
458,Wyoming,Judicial District 2,8.84%,6.69%,11.59%,4
459,Wyoming,Judicial District 3,5.06%,3.68%,6.93%,4
460,Wyoming,Judicial District 4,6.14%,4.26%,8.78%,4
461,Wyoming,Judicial District 5,5.13%,3.59%,7.28%,4
462,Wyoming,Judicial District 6,5.07%,3.65%,7.01%,4
463,Wyoming,Judicial District 7 (Natrona),6.01%,4.37%,8.20%,4
464,Wyoming,Judicial District 8,5.29%,3.71%,7.48%,4
465,Wyoming,Judicial District 9,7.88%,5.64%,10.89%,4
