Order,State,Substate Region,"Small 
Area Estimate",95% CI (Lower),95% CI (Upper),Map Group
448,West Virginia,Region VI,37.26%,33.11%,41.61%,4
449,Wisconsin,Wisconsin,25.32%,22.95%,27.85%,3
450,Wisconsin,Milwaukee,24.63%,20.60%,29.16%,4
451,Wisconsin,Northeastern,24.82%,21.14%,28.91%,4
452,Wisconsin,Northern,24.43%,20.08%,29.38%,4
453,Wisconsin,Southeastern,28.05%,24.05%,32.43%,4
454,Wisconsin,Southern,23.22%,19.45%,27.46%,4
455,Wisconsin,Western,26.46%,22.22%,31.18%,4
456,Wyoming,Wyoming,27.53%,25.34%,29.83%,3
457,Wyoming,Judicial District 1 (Laramie),27.21%,23.36%,31.43%,4
458,Wyoming,Judicial District 2,22.69%,19.01%,26.84%,4
459,Wyoming,Judicial District 3,31.40%,27.34%,35.76%,4
460,Wyoming,Judicial District 4,25.66%,21.12%,30.80%,4
461,Wyoming,Judicial District 5,30.46%,25.44%,35.99%,4
462,Wyoming,Judicial District 6,27.97%,23.82%,32.54%,4
463,Wyoming,Judicial District 7 (Natrona),23.68%,19.82%,28.03%,4
464,Wyoming,Judicial District 8,31.81%,27.00%,37.04%,4
465,Wyoming,Judicial District 9,27.50%,23.20%,32.26%,4
