Order,State,Substate Region,"Small 
Area Estimate",95% CI (Lower),95% CI (Upper),Map Group
455,Wisconsin,Western,2.02%,1.59%,2.55%,4
456,Wyoming,Wyoming,1.75%,1.53%,2.00%,3
457,Wyoming,Judicial District 1 (Laramie),1.77%,1.38%,2.25%,4
458,Wyoming,Judicial District 2,2.85%,2.15%,3.77%,4
459,Wyoming,Judicial District 3,1.40%,1.11%,1.77%,4
460,Wyoming,Judicial District 4,1.41%,1.05%,1.90%,4
461,Wyoming,Judicial District 5,1.22%,0.92%,1.62%,4
462,Wyoming,Judicial District 6,1.80%,1.39%,2.33%,4
463,Wyoming,Judicial District 7 (Natrona),1.98%,1.53%,2.56%,4
464,Wyoming,Judicial District 8,1.68%,1.29%,2.19%,4
465,Wyoming,Judicial District 9,1.74%,1.32%,2.28%,4
